area,population
rogers_park,54991
west_ridge,71942
uptown,56362
lincoln_square,39493
north_center,31867
lake_view,94368
lincoln_park,64116
near_north_side,80484
edison_park,11187
norwood_park,37023
jefferson_park,25448
forest_glen,18508
north_park,17931
albany_park,51542
portage_park,64124
irving_park,53359
dunning,41932
montclare,13426
belmont_cragin,78743
hermosa,25010
avondale,39262
logan_square,73595
humboldt_park,56323
west_town,81432
austin,98514
west_garfield_park,18001
east_garfield_park,20567
near_west_side,54881
north_lawndale,35912
south_lawndale,79288
lower_west_side,35769
loop,29283
near_south_side,21390
armour_square,13391
douglas,18238
oakland,5918
fuller_park,2876
grand_boulevard,21929
kenwood,17841
washington_park,11717
hyde_park,25681
woodlawn,25983
south_shore,49767
chatham,31028
avalon_park,10185
south_chicago,31198
burnside,2916
calumet_heights,13812
roseland,44619
pullman,7325
south_deering,15109
east_side,23042
west_pullman,29651
riverdale,6482
hegewisch,9426
garfield_ridge,34513
archer_heights,13393
brighton_park,45368
mckinley_park,15612
bridgeport,31977
new_city,44377
west_elsdon,18109
gage_park,39894
clearing,23139
west_lawn,33355
chicago_lawn,55628
west_englewood,35505
englewood,30654
greater_grand_crossing,32602
ashburn,41081
auburn_gresham,48743
beverly,20034
washington_heights,26493
mount_greenwood,19093
morgan_park,22544
ohare,12756
edgewater,56521
