community,population
austin,98514
lake_view,94368
west_town,81432
near_north_side,80484
south_lawndale,79288
belmont_cragin,78743
logan_square,73595
west_ridge,71942
portage_park,64124
lincoln_park,64116
edgewater,56521
uptown,56362
humboldt_park,56323
chicago_lawn,55628
rogers_park,54991
near_west_side,54881
irving_park,53359
albany_park,51542
south_shore,49767
auburn_gresham,48743
brighton_park,45368
roseland,44619
new_city,44377
dunning,41932
ashburn,41081
gage_park,39894
lincoln_square,39493
avondale,39262
norwood_park,37023
north_lawndale,35912
lower_west_side,35769
west_englewood,35505
garfield_ridge,34513
west_lawn,33355
greater_grand_crossing,32602
bridgeport,31977
north_center,31867
south_chicago,31198
chatham,31028
englewood,30654
west_pullman,29651
loop,29283
washington_heights,26493
woodlawn,25983
hyde_park,25681
jefferson_park,25448
hermosa,25010
clearing,23139
east_side,23042
morgan_park,22544
grand_boulevard,21929
near_south_side,21390
east_garfield_park,20567
beverly,20034
mount_greenwood,19093
forest_glen,18508
douglas,18238
west_elsdon,18109
west_garfield_park,18001
north_park,17931
kenwood,17841
mckinley_park,15612
south_deering,15109
calumet_heights,13812
montclare,13426
archer_heights,13393
armour_square,13391
ohare,12756
washington_park,11717
edison_park,11187
avalon_park,10185
hegewisch,9426
pullman,7325
riverdale,6482
oakland,5918
burnside,2916
fuller_park,2876
