community	population						
Rogers Park	"54,991"						
West Ridge	"71,942"						
Uptown	"56,362"						
Lincoln Square	"39,493"						
North Center	"31,867"						
Lake View	"94,368"						
Lincoln Park	"64,116"						
Near North Side	"80,484"						
Edison Park	"11,187"						
Norwood Park	"37,023"						
Jefferson Park	"25,448"						
Forest Glen	"18,508"						
North Park	"17,931"						
Albany Park	"51,542"						
Portage Park	"64,124"						
Irving Park	"53,359"						
Dunning	"41,932"						
Montclare	"13,426"						
Belmont Cragin	"78,743"						
Hermosa	"25,010"						
Avondale	"39,262"						
Logan Square	"73,595"						
Humboldt Park	"56,323"						
West Town	"81,432"						
Austin	"98,514"						
West Garfield Park	"18,001"						
East Garfield Park	"20,567"						
Near West Side	"54,881"						
North Lawndale	"35,912"						
South Lawndale	"79,288"						
Lower West Side	"35,769"						
Loop	"29,283"						
Near South Side	"21,390"						
Armour Square	"13,391"						
Douglas	"18,238"						
Oakland	"5,918"						
Fuller Park	"2,876"						
Grand Boulevard	"21,929"						
Kenwood	"17,841"						
Washington Park	"11,717"						
Hyde Park	"25,681"						
Woodlawn	"25,983"						
South Shore	"49,767"						
Chatham	"31,028"						
Avalon Park	"10,185"						
South Chicago	"31,198"						
Burnside	"2,916"						
Calumet Heights	"13,812"						
Roseland	"44,619"						
Pullman	"7,325"						
South Deering	"15,109"						
East Side	"23,042"						
West Pullman	"29,651"						
Riverdale	"6,482"						
Hegewisch	"9,426"						
Garfield Ridge	"34,513"						
Archer Heights	"13,393"						
Brighton Park	"45,368"						
McKinley Park	"15,612"						
Bridgeport	"31,977"						
New City	"44,377"						
West Elsdon	"18,109"						
Gage Park	"39,894"						
Clearing	"23,139"						
West Lawn	"33,355"						
Chicago Lawn	"55,628"						
West Englewood	"35,505"						
Englewood	"30,654"						
Greater Grand Crossing	"32,602"						
Ashburn	"41,081"						
Auburn Gresham	"48,743"						
Beverly	"20,034"						
Washington Heights	"26,493"						
Mount Greenwood	"19,093"						
Morgan Park	"22,544"						
O'Hare	"12,756"						
Edgewater	"56,521"						
